城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率
ECVD107,M18942,MINI,115000.0,2043.54,177.7,59,10.99
NWVA105,M18606,奥迪TT,148000.0,3494.58,236.12,79,10.91
ECVN103,M19576,奥迪A4L,188000.0,1836.5,97.69,27,13.21
ECVJ107,M19430,丰田普拉多,256000.0,2656.58,103.77,35,10.82
ECVJ107,M19929,路虎揽胜,732000.0,3399.04,46.43,12,14.12
NCVA101,M19615,丰田塞纳,231000.0,2009.67,87.0,26,12.21
NWVA105,M19970,奥迪Q7,214000.0,1744.9,81.54,11,27.06
ECVC105,M19897,凯迪拉克ATS-L,126000.0,756.0,60.0,14,15.64
ECVJ106,M18439,本田奥德赛,43000.0,829.98,193.02,88,8.01
ECVD102,M19435,保时捷911（保底10%）,800000.0,8300.63,103.76,35,10.82
SWVA204,M19741,奔驰B200,113000.0,930.07,82.31,20,15.02
NCVG102,M18403,宝马318i,64000.0,1249.08,195.17,89,8
ECVD106,M19867,马自达6,28000.0,179.2,64.0,15,15.57
NWVB110,M20098,大众帕萨特,88000.0,780.69,88.71,4,80.95
SCVA105,M18655,奔腾X80,48000.0,1059.36,220.7,78,10.33
SWVM105,M19294,现代朗动,46000.0,613.56,133.38,41,11.87
SWVF108,M18944,丰田皇冠,64000.0,1162.19,181.59,58,11.43
SCVB114,M18437,本田凌派,69000.0,1331.01,192.9,88,8
SWVK111,M18404,丰田汉兰达,94000.0,1833.96,195.1,89,8
CCVF211,M19161,Jeep牧马人,136000.0,1758.43,129.3,47,10.04
CCVF211,M19290,大众途观,70000.0,849.73,121.39,40,11.08
SWVF108,M18818,宝马318i,86000.0,1522.2,177.0,62,10.42
NWVQ109,M19893,丰田卡罗拉,68000.0,584.97,86.03,13,24.15
NWVQ112,M18654,凯迪拉克凯雷德,202000.0,4656.52,230.52,77,10.93
CCVA117,M18341,奥迪A4L,88000.0,1736.05,197.28,90,8
SCVA107,M19734,丰田普拉多,198000.0,1554.67,78.52,19,15.08
CCVF211,M19289,本田凌派,88000.0,1041.96,118.4,39,11.08
NCVB101,M19855,奔驰G63（保底10%）,800000.0,3850.81,48.14,14,12.55
SWVM114,M19213,本田冠道,190000.0,2573.08,135.43,44,11.23
CCVA101,M19524,福特锐界,160000.0,1589.38,99.34,29,12.5
CCVA117,M18340,奥迪A6L,92000.0,1817.95,197.6,90,8.01
NCVB110,M18507,Jeep大切诺基,280000.0,6026.46,215.23,80,9.82
SWVF206,M19996,丰田卡罗拉,76000.0,430.02,56.58,7,29.5
CCVF207,M18485,丰田普拉多,401000.0,9734.96,242.77,82,10.81
SWVB119,M18383,奥迪Q3,70000.0,1700.17,242.88,87,10.19
ECVM112,M18465,名爵锐行,52000.0,1125.3,216.4,84,9.4
NCVB106,M19596,MINI,50000.0,500.0,100.0,24,15.21
NCVB106,M19405,兰德酷路泽LC76,300000.0,2930.06,97.67,32,11.14
SCVA103,M19203,丰田凯美瑞,112000.0,1625.43,145.13,44,12.04
NWVA104,M19868,奥迪A6L,264000.0,1768.88,67.0,12,20.38
SWVM209,M18747,大众帕萨特,96000.0,1860.45,193.8,64,11.05
SCVB106,M19772,起亚智跑,80000.0,964.8,120.6,17,25.89
ECVJ107,M18348,奥迪A3,112000.0,2160.78,192.93,88,8
ECVC105,M19562,保时捷Cayenne,525000.0,4397.75,83.77,25,12.23
NWVA105,M19356,凯迪拉克SRX,113000.0,1515.68,134.13,36,13.6
ECVM214,M19663,奔驰ML300,96000.0,799.59,83.29,22,13.82
SWVA102,M19750,宝马525Li,245000.0,1471.89,60.08,17,12.9
ECVJ204,M18423,日产天籁,100000.0,2114.12,211.41,85,9.08
ECVM118,M18385,奔驰R350L,260000.0,6229.72,239.6,87,10.05
SWVU110,M19937,宝马320Li,166000.0,806.85,48.61,10,17.74
NWVB110,M19702,奔驰B200,64000.0,714.11,111.58,19,21.44
SWVK112,M19536,奥迪Q5,168000.0,1612.48,95.98,28,12.51
NWVB110,M18548,现代朗动,56000.0,1306.45,233.29,78,10.92
NWVB110,M18547,丰田凯美瑞,56000.0,1319.95,235.71,78,11.03
NWVA105,M18499,保时捷Cayenne,178000.0,4250.93,238.82,80,10.9
ECVM108,M19487,保时捷Cayenne,366000.0,3264.63,89.2,29,11.23
NCVG101,M19486,奔驰GLA200,176000.0,1820.15,103.42,29,13.02
CCVF210,M18331,丰田Fortuner,259000.0,7000.05,270.27,90,10.96
NWVA108,M18958,大众帕萨特,102000.0,1831.9,179.6,53,12.37
SCVB115,M19839,雷克萨斯ES200,188000.0,1400.05,74.47,13,20.91
ECVM214,M19949,奥迪Q7,122000.0,541.68,44.4,8,20.26
NWVB101,M19717,本田飞度,56000.0,814.41,145.43,17,31.22
SWVU120,M19981,宝马525Li,200000.0,881.86,44.09,7,22.99
SWVG101,M19523,本田缤智,84000.0,758.17,90.26,27,12.2
SWVU117,M19705,奥迪A6L,68000.0,609.99,89.7,18,18.19
NCVH105,M19707,奔驰C200,194000.0,1122.41,57.86,17,12.42
NWVA108,M19546,奥迪Q7,264000.0,2675.07,101.33,25,14.79
NCVA104,M19344,丰田雷凌,60000.0,639.37,106.56,35,11.11
SWVG105,M18415,大众尚酷,99000.0,2071.35,209.23,84,9.09
ECVC105,M19778,奥迪A6L,203000.0,1043.11,51.38,15,12.5
NCVB106,M19817,宝马X6,390000.0,1877.34,48.14,14,12.55
SWVF206,M19578,沃尔沃S60L,113000.0,973.74,86.17,23,13.68
SWVM204,M19693,现代索纳塔九,92000.0,857.35,93.19,19,17.9
CCVA102,M18328,奔驰GLC260,276000.0,5384.31,195.08,89,8
SWVM204,M19790,起亚K5,62000.0,489.85,79.01,15,19.23
SWVK111,M18841,CrossPOLO,51000.0,973.66,190.91,58,12.01
NWVA204,M19760,奔驰A200,124000.0,1134.27,91.47,16,20.87
SCVB106,M18316,奔驰CLS300,138000.0,2692.18,195.09,89,8
CCVF106,M18993,路虎发现神行,188000.0,2293.84,122.01,50,8.91
SWVM122,M19989,别克GL8,128000.0,519.35,40.57,6,24.68
NWVB116,M19301,奔驰GLA260,220000.0,2826.34,128.47,36,13.03
NWVA105,M19793,奥迪Q7,217000.0,1891.7,87.18,14,22.73
ECVM214,M18389,丰田坦途,181000.0,3826.74,211.42,85,9.08
ECVD102,M19174,奥迪A6L,189000.0,2406.01,127.3,42,11.06
ECVD107,M18854,宝马X1,87000.0,1494.51,171.78,57,11
ECVD107,M19771,宝马520Li,125000.0,800.0,64.0,15,15.57
SWVM105,M18936,奔驰C200L,190000.0,3136.77,165.09,54,11.16
CCVF102,M19892,奔驰C180L,176000.0,704.0,40.0,9,16.22
NCVA112,M19791,宝马X6,280000.0,1347.79,48.14,14,12.55
SWVA210,M19706,奥迪Q5,174000.0,1002.06,57.59,16,13.14
NWVB116,M20001,宝马525Li,200000.0,1036.8,51.84,5,37.84
NWVB116,M20002,丰田卡罗拉,56000.0,292.36,52.21,5,38.11
SWVB113,M19715,宝马X4,252000.0,1429.64,56.73,16,12.94
NCVI104,M18315,大众夏朗,94000.0,1833.97,195.1,89,8
NWVA104,M19661,大众CC,119000.0,1188.53,99.88,20,18.23
SWVM116,M18871,奔驰C200L,199000.0,3401.04,170.91,56,11.14
CCVF205,M18275,路虎揽胜（保底11%）,722000.0,19999.79,277.01,90,11.23
NWVA105,M19495,雷克萨斯RX270,196000.0,2293.72,117.03,27,15.82
ECVJ105,M18310,标致308S,52000.0,1015.03,195.2,89,8.01
SWVU102,M19847,保时捷Cayenne,503000.0,2375.23,47.22,12,14.36
SWVK112,M19629,宝骏730,64000.0,492.23,76.91,21,13.37
SWVK112,M19630,宝骏730,64000.0,549.99,85.94,21,14.94
SWVK203,M18399,大众途锐,152000.0,3815.75,251.04,84,10.91
SWVM111,M18289,奥迪Q5,119000.0,2322.0,195.13,89,8
SWVF206,M19779,传祺GS4,64000.0,469.98,73.43,13,20.62
NWVA105,M19508,MINI,115000.0,1231.99,107.13,26,15.04
SWVG106,M19838,福特野马,160000.0,774.53,48.41,11,16.06
NWVB113,M19406,凯迪拉克CT6,220000.0,2127.56,96.71,29,12.17
NWVB109,M18430,丰田凯美瑞,60000.0,1469.78,244.96,82,10.9
NWVB110,M18474,本田CR-V,56000.0,1379.98,246.43,80,11.24
CCVF204,M18956,奥迪A6L,172000.0,3135.54,182.3,50,13.31
ECVJ105,M19573,路虎揽胜,656000.0,5463.88,83.29,22,13.82
SWVG108,M18943,奥迪A1,88000.0,1348.36,153.22,52,10.76
CCVA116,M18284,宝马Z4,148000.0,2887.76,195.12,89,8
NCVG105,M19440,本田艾力绅,199000.0,2046.54,102.84,28,13.41
SWVM122,M18723,别克君越,120000.0,2077.23,173.1,62,10.19
CCVF211,M18779,宝马520Li,216000.0,3825.19,177.09,60,10.77
NWVB105,M19832,奔驰E300L,332000.0,1496.3,45.07,11,14.95
NCVH116,M19039,日产阳光,35000.0,507.84,145.1,48,11.03
ECVK107,M19519,奔驰E200L,240000.0,2010.61,83.78,25,12.23
SCVA107,M18846,丰田皇冠,174000.0,3248.35,186.69,56,12.17
CCVA112,M18361,别克君威,54000.0,1292.29,239.31,85,10.28
ECVJ102,M18516,讴歌MDX,150000.0,3109.11,207.27,76,9.95
ECVC111,M18370,奔驰ML400,202000.0,4676.14,231.49,85,9.94
NWVA104,M19131,捷豹XF,192000.0,2883.44,150.18,43,12.75
