城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率
NCVB103,M13311,宝马730Li,525000.0,5749.68,109.52,36,11.1
CCVG104,M13638,大众帕萨特,90000.0,782.98,87.0,26,12.21
SCVB115,M13644,福特新蒙迪欧,115000.0,1690.09,146.96,26,20.63
NCVA106,M13659,Jeep大切诺基,204000.0,1774.74,87.0,26,12.21
CCVA123,M13901,丰田普拉多,232000.0,1686.05,72.67,19,13.96
ECVS102,M13919,大众迈腾,108000.0,694.75,64.33,19,12.36
SCVI106,M13983,本田思域,83000.0,534.67,64.42,16,14.7
SCVA110,M14024,起亚K3,59000.0,500.0,84.75,16,19.33
ECVS106,M14195,丰田汉兰达,220000.0,880.0,40.0,9,16.22
SWVG103,M14355,日产奇骏,111000.0,290.62,26.18,3,31.85
SWVU112,M11975,英菲尼迪QX60,201000.0,3920.0,195.02,89,8.0
CCVA125,M11979,大众途观,104000.0,2028.0,195.0,89,8.0
SCVA105,M12031,瑞虎5,50000.0,1105.48,221.1,87,9.28
NCVG101,M12432,丰田卡罗拉,64000.0,1440.82,225.13,75,10.96
NCVG101,M12437,现代悦动,36000.0,736.49,204.58,75,9.96
SWVM110,M13076,凯迪拉克SRX,128000.0,1687.88,131.87,43,11.19
CCVA112,M13095,大众宝来,60000.0,769.42,128.24,42,11.14
SCVB106,M13455,丰田锐志,134000.0,1643.23,122.63,31,14.44
SWVU110,M13550,大众帕萨特,108000.0,1127.44,104.39,28,13.61
NCVB102,M13679,大众迈特威,304000.0,2447.82,80.52,24,12.25
CCVA130,M13708,斯巴鲁森林人,80000.0,600.0,75.0,22,12.44
NCVB101,M13717,奔驰C300,300000.0,2221.32,74.04,22,12.28
NCVG107,M13730,路虎揽胜极光（每人限投2000）,264000.0,1954.76,74.04,22,12.28
SWVM114,M13732,奥迪A4L,200000.0,1536.88,76.84,22,12.75
SWVK116,M13768,大众捷达,55000.0,427.66,77.76,21,13.51
CCVL103,M13791,路虎揽胜,495000.0,3420.17,69.09,21,12.01
ECVK107,M13968,丰田汉兰达,192000.0,1200.0,62.5,16,14.26
NCVI105,M14055,瑞风M3,44000.0,266.66,60.6,14,15.8
SWVU116,M14076,奥迪A6L,180000.0,1050.0,58.33,13,16.38
NCVG104,M14241,奥迪A4L,156000.0,499.2,32.0,7,16.69
CCVA106,M11944,宝马X5,178000.0,3433.0,192.87,88,8.0
SWVU106,M12148,丰田兰德酷路泽（每人限投3000）,329000.0,7494.83,227.81,83,10.02
NCVB101,M12236,奔驰GLA45,300000.0,6621.7,220.72,81,9.95
SCVB103,M12300,奥迪Q7,246000.0,4808.01,195.45,79,9.03
SWVM110,M12864,大众高尔夫,72000.0,1188.95,165.13,59,10.22
NWVB103,M13444,奔驰E260L,272000.0,3073.05,112.98,31,13.3
SWVU109,M13670,奥迪A6L,180000.0,1505.37,83.63,24,12.72
NCVA113,M13915,别克GL8,90000.0,600.0,66.67,17,14.31
SCVB105,M13959,日产轩逸,30000.0,565.75,188.58,16,43.02
CCVG106,M13964,丰田凯美瑞,53000.0,343.66,64.84,16,14.79
ECVK107,M13967,宝马118i,143000.0,915.0,63.99,15,15.57
SCVI107,M14036,丰田锐志,126000.0,800.0,63.49,13,17.83
SCVB106,M14112,宝马320i,68000.0,631.97,92.94,11,30.84
CCVA102,M14155,宝马X5,188000.0,810.0,43.09,9,17.47
ECVS106,M14196,奥迪A6L,120000.0,384.0,32.0,7,16.69
SCVA101,M11890,丰田锐志,124000.0,2418.0,195.0,89,8.0
SWVM114,M11895,大众CC,130000.0,2535.0,195.0,89,8.0
SWVM120,M11897,金杯阁瑞斯,62000.0,1543.93,249.02,89,10.21
SWVM120,M11910,福特新蒙迪欧,116000.0,2852.06,245.87,89,10.08
SWVM109,M11912,奥迪Q5（每人限投3000）,210000.0,4631.12,220.53,89,9.04
SWVM116,M11962,福特翼虎,120000.0,2884.39,240.37,87,10.08
CCVA102,M12284,雷克萨斯CT200h,124000.0,2593.25,209.13,79,9.66
NCVB107,M12683,宝马325i,150000.0,2843.34,189.56,63,10.98
NWVB105,M13123,路虎神行者2,200000.0,2427.51,121.38,40,11.08
NWVB105,M13142,斯巴鲁驰鹏,104000.0,1231.47,118.41,39,11.08
NWVB105,M13143,沃尔沃XC60,116000.0,1435.54,123.75,39,11.58
SWVM116,M13207,奥迪A4L,112000.0,1301.8,116.23,37,11.47
NWVB106,M13286,大众帕萨特,100000.0,1176.03,117.6,34,12.63
SCVA111,M13309,丰田汉兰达,148000.0,1548.88,104.65,33,11.58
SCVA111,M13548,现代索纳塔九,92000.0,1370.17,148.93,26,20.91
NCVB106,M13752,奥迪A7,280000.0,1801.21,64.33,19,12.36
