城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率,天数乘收益率,收益率除天数
SCVA114,M17855,斯巴鲁XV,88000.0,1698.21,192.98,88,8.0,704.0,0.09090909090909093
SCVA111,M18975,丰田RAV4,116000.0,1339.8,115.5,29,14.54,421.66,0.5013793103448275
SWVU106,M19044,宝马116i,96000.0,920.38,95.87,27,12.96,349.92,0.48
SWVM125,M19488,奔驰C200L,198000.0,759.62,38.36,5,28.01,140.05,5.602
NWVA105,M18067,大捷龙,171000.0,3988.92,233.27,78,10.92,851.76,0.14
ECVK112,M19198,奔驰C200L,221000.0,1421.44,64.32,19,12.36,234.84,0.6505263157894736
SCVB109,M17782,大众高尔夫,64000.0,1249.03,195.16,89,8.0,712.0,0.0898876404494382
SCVI115,M19453,现代ix25,75000.0,225.0,30.0,6,18.25,109.5,3.0416666666666665
SCVI115,M19462,大众帕萨特,93000.0,269.95,29.03,6,17.66,105.96,2.9433333333333334
NWVA108,M17904,奥迪A5,152000.0,3754.86,247.03,84,10.73,901.32,0.12773809523809526
NWVA108,M17914,路虎揽胜运动,336000.0,8295.72,246.9,83,10.86,901.38,0.1308433734939759
ECVM201,M17822,路虎发现4,371000.0,9000.04,242.59,88,10.06,885.2800000000003,0.11431818181818182
SWVG105,M19049,大众凌渡,102000.0,937.49,91.91,25,13.42,335.5,0.5367999999999999
NCVB102,M19241,丰田兰德酷路泽,504000.0,2752.41,54.61,16,12.46,199.36,0.77875
NWVQ104,M17926,帕杰罗,136000.0,3357.71,246.89,83,10.86,901.38,0.1308433734939759
ECVJ204,M17793,宝马525Li,172000.0,3355.97,195.11,89,8.0,712.0,0.0898876404494382
ECVN103,M19381,奥迪A4L,196000.0,921.8,47.03,10,17.17,171.70000000000005,1.7169999999999999
NCVB101,M19258,奔驰GLC300,301000.0,1546.47,51.38,15,12.5,187.5,0.8333333333333334
ECVJ105,M19239,奔驰威霆,140000.0,913.77,65.27,16,14.89,238.24,0.930625
SWVM205,M17998,大众帕萨特,101000.0,2428.79,240.47,80,10.97,877.6,0.137125
NCVG105,M19307,大众迈腾,176000.0,865.89,49.2,13,13.81,179.53,1.0623076923076924
SCVA104,M19403,本田CR-V,124000.0,585.77,47.24,8,21.55,172.4,2.69375
ECVJ105,M19422,丰田兰德酷路泽,445000.0,2145.75,48.22,6,29.33,175.98,4.888333333333333
NWVA105,M19477,福特野马,252000.0,1302.61,51.69,5,37.73,188.65,7.5459999999999985
NCVH105,M19410,丰田普拉多,206000.0,659.2,32.0,7,16.69,116.83,2.3842857142857143
CCVA103,M17807,宝马525Li,184000.0,3549.0,192.88,88,8.0,704.0,0.09090909090909093
SWVU106,M18762,奔驰C260,105000.0,1268.28,120.79,38,11.6,440.8,0.30526315789473685
SCVA110,M18960,丰田凯美瑞,61000.0,830.9,136.21,28,17.76,497.28,0.6342857142857143
NCVI107,M19189,夏利A+,4000.0,32.0,80.0,19,15.37,292.03,0.8089473684210526
CCVA131,M17861,帝豪,42000.0,1008.92,240.22,86,10.2,877.1999999999997,0.11860465116279068
SWVG105,M19358,日产天籁,40000.0,267.06,66.76,10,24.37,243.7,2.4370000000000003
CCVF205,M17736,路虎揽胜,984000.0,27000.18,274.39,90,11.13,1001.7,0.12366666666666667
CCVA113,M18683,路虎神行者2,200000.0,2472.77,123.64,41,11.01,451.41,0.2685365853658537
ECVD102,M19051,丰田皇冠,161000.0,1296.25,80.51,24,12.24,293.76,0.51
ECVD102,M19314,奔驰E260L,185000.0,833.95,45.08,11,14.96,164.56,1.36
SWVF206,M19458,本田雅阁,166000.0,513.43,30.93,5,22.58,112.9,4.516
ECVJ208,M18168,MINI,57000.0,1044.09,183.17,72,9.29,668.8799999999999,0.12902777777777774
ECVJ208,M17833,奥迪A4L,128000.0,2900.01,226.56,87,9.51,827.37,0.1093103448275862
NWVQ110,M18935,宝马330i,120000.0,1417.19,118.1,30,14.37,431.1,0.479
SCVA103,M19261,丰田汉兰达,204000.0,1138.76,55.82,13,15.67,203.71,1.2053846153846153
SWVG112,M19129,起亚狮跑,32000.0,298.94,93.42,19,17.95,341.05,0.9447368421052632
SCVA110,M18874,丰田卡罗拉,58000.0,578.32,99.71,31,11.74,363.94,0.3787096774193549
SWVM104,M18637,宝马525Li,220000.0,3247.99,147.64,48,11.23,539.04,0.2339583333333333
SWVM205,M17967,现代ix25,86000.0,2048.22,238.17,79,11.0,869.0,0.13924050632911392
ECVJ203,M18919,MINI,120000.0,1241.02,103.42,29,13.02,377.58,0.4489655172413793
ECVC105,M18816,福特F-150,259000.0,2605.91,100.61,33,11.13,367.29,0.3372727272727273
NWVA204,M17897,大众帕萨特,101000.0,2693.49,266.68,82,11.87,973.34,0.1447560975609756
CCVF105,M19041,Jeep指南者,80000.0,736.0,92.0,23,14.6,335.8,0.6347826086956522
NCVI104,M18452,大众途观,108000.0,1792.82,166.0,56,10.82,605.9200000000002,0.19321428571428573
SWVU120,M17835,大众R36,208000.0,5225.06,251.2,85,10.79,917.15,0.12694117647058822
ECVM214,M19411,奔驰ML500,93000.0,418.48,45.0,4,41.06,164.24,10.265
SCVA113,M17762,丰田坦途,206000.0,3974.0,192.91,88,8.0,704.0,0.09090909090909093
NCVB112,M19223,奔驰威霆,244000.0,1174.45,48.13,14,12.55,175.70000000000005,0.8964285714285715
CCVF202,M19096,奔驰唯雅诺,98000.0,863.05,88.07,21,15.31,321.51,0.7290476190476189
SWVK106,M19091,大众帕萨特,137000.0,1012.1,73.88,21,12.84,269.64,0.6114285714285714
ECVJ203,M17821,丰田普拉多,256000.0,5926.05,231.49,85,9.94,844.9,0.11694117647058826
SWVM116,M18434,福特蒙迪欧,100000.0,1759.77,175.98,57,11.27,642.39,0.197719298245614
ECVC102,M18786,奔驰GLA200,120000.0,1243.11,103.59,34,11.12,378.08,0.3270588235294117
SCVA122,M17734,奥迪Q7,183000.0,3570.01,195.08,89,8.0,712.0,0.0898876404494382
NWVA209,M18694,风神AX7,52000.0,813.83,156.51,37,15.44,571.28,0.4172972972972973
ECVK101,M18338,奔驰S350L,264000.0,4572.44,173.2,60,10.54,632.4,0.17566666666666667
SWVM125,M19055,大众凌渡,80000.0,764.0,95.5,21,16.6,348.6,0.7904761904761906
SWVK112,M17849,别克昂科威,128000.0,2936.29,229.4,83,10.09,837.47,0.12156626506024094
NWVQ101,M18849,奔驰C260,124000.0,1464.54,118.11,30,14.37,431.1,0.479
SWVU106,M19036,大众甲壳虫,82000.0,834.61,101.78,22,16.89,371.58,0.7677272727272727
SWVU103,M19234,大众甲壳虫,110000.0,740.04,67.28,13,18.89,245.57,1.4530769230769232
NCVB101,M17788,雷克萨斯LX570,840000.0,19549.9,232.74,84,10.11,849.24,0.12035714285714284
SCVB114,M18426,本田CR-V,122000.0,1968.72,161.37,56,10.52,589.12,0.18785714285714286
ECVM217,M19085,丰田普拉多,260000.0,2152.31,82.78,20,15.11,302.2,0.7555
CCVA130,M18304,起亚智跑,69000.0,1212.36,175.7,62,10.34,641.08,0.1667741935483871
CCVA130,M17754,日产天籁,60000.0,1463.3,243.88,87,10.23,890.01,0.11758620689655172
SWVK107,M17827,宝马X3,197000.0,4563.23,231.64,84,10.07,845.88,0.11988095238095238
SWVU118,M19335,日产蓝鸟,76000.0,370.26,48.72,8,22.23,177.84,2.77875
SWVU118,M18610,本田CR-V,74000.0,1228.96,166.08,47,12.9,606.3000000000002,0.274468085106383
ECVC112,M19069,奔驰E300L,280000.0,1892.15,67.58,20,12.33,246.6,0.6165
SCVI112,M19177,本田思域,104000.0,629.62,60.54,15,14.73,220.95,0.982
ECVM210,M19264,奥迪A3,113000.0,765.25,67.72,10,24.72,247.2,2.472
NCVA101,M18608,奥迪A3,105000.0,1492.22,142.12,47,11.04,518.88,0.2348936170212766
SWVM125,M18697,福特翼搏,50000.0,603.5,120.7,37,11.91,440.67,0.3218918918918919
CCVF110,M18470,奔驰CLS300,193000.0,2858.13,148.09,54,10.01,540.54,0.1853703703703704
NCVG105,M18366,奔驰C180L,198000.0,3912.09,197.58,59,12.22,720.98,0.20711864406779665
SCVG102,M19201,日产逍客,107000.0,647.83,60.54,15,14.73,220.95,0.982
SWVK203,M18398,宝马X5,172000.0,3220.79,187.26,57,11.99,683.4300000000002,0.21035087719298248
SCVG105,M17705,宝马GT320i,220000.0,5000.01,227.27,90,9.22,829.8000000000003,0.10244444444444444
SCVG105,M17727,猎豹CS10,77000.0,1999.89,259.73,89,10.65,947.85,0.1196629213483146
CCVA107,M18380,奔驰R300L,137000.0,2357.47,172.08,57,11.02,628.14,0.19333333333333333
SWVM116,M19219,起亚K4,71000.0,486.19,68.48,13,19.23,249.99,1.4792307692307691
SCVA117,M17728,别克昂科拉,56000.0,1080.93,193.02,88,8.01,704.88,0.09102272727272727
ECVJ102,M19137,宝马i3,160000.0,822.14,51.38,15,12.5,187.5,0.8333333333333334
NCVG103,M18716,奔驰CLA220,200000.0,2293.97,114.7,35,11.96,418.6,0.3417142857142857
SWVF206,M18765,福特新蒙迪欧,96000.0,1030.98,107.39,33,11.88,392.04,0.36000000000000004
NCVG109,M19364,大众高尔夫,102000.0,309.33,30.33,5,22.14,110.7,4.428
SWVF203,M19214,景逸X5,40000.0,243.1,60.77,13,17.06,221.78,1.3123076923076922
ECVM214,M19146,哈弗H6,28000.0,333.0,118.93,15,28.94,434.1,1.9293333333333331
NCVA101,M19022,奔驰C200L,175000.0,1239.04,70.8,21,12.31,258.51,0.5861904761904763
CCVA121,M18161,猎豹CS10,68000.0,1305.2,191.94,68,10.3,700.4000000000003,0.15147058823529413
NWVQ101,M18734,宝马X5,200000.0,2507.4,125.37,35,13.07,457.45,0.37342857142857133
NCVB101,M19135,大众途锐,245000.0,1337.9,54.61,16,12.46,199.36,0.77875
CCVA103,M18927,道奇酷威,128000.0,1155.89,90.3,26,12.68,329.68,0.4876923076923077
NWVA202,M19388,路虎发现4,512000.0,1668.9,32.6,5,23.79,118.95,4.758
CCVA136,M19399,本田艾力绅,126000.0,429.73,34.11,3,41.5,124.5,13.833333333333336
SCVA110,M19400,大众高尔夫,63000.0,465.41,73.87,3,89.88,269.64,29.96
CCVG108,M18848,奥迪A6L,200000.0,1934.14,96.71,29,12.17,352.93,0.4196551724137931
CCVF110,M18968,奔驰GLC260,232000.0,1793.44,77.3,23,12.27,282.21,0.5334782608695652
SWVM117,M19311,博瑞,79000.0,534.01,67.6,8,30.84,246.72,3.855
SWVM117,M19168,现代名图,68000.0,495.17,72.82,15,17.72,265.79999999999995,1.1813333333333331
NCVG104,M17824,捷豹F-PACE,213000.0,4748.39,222.93,83,9.8,813.4000000000003,0.11807228915662653
ECVR106,M17571,福特翼虎,128000.0,2496.78,195.06,89,8.0,712.0,0.0898876404494382
ECVC102,M17696,MINI,77000.0,1502.82,195.17,89,8.0,712.0,0.0898876404494382
ECVM113,M17702,奔驰R350L,206000.0,3973.8,192.9,88,8.0,704.0,0.09090909090909093
ECVS101,M17722,本田奥德赛,150000.0,2893.72,192.91,88,8.0,704.0,0.09090909090909093
ECVJ206,M17769,宝马525Li,88000.0,1823.63,207.23,84,9.0,756.0,0.10714285714285714
ECVK104,M17781,宝马320i,160000.0,3617.61,226.1,83,9.94,825.02,0.1197590361445783
ECVJ102,M17784,福特F-150,208000.0,4702.92,226.1,83,9.94,825.02,0.1197590361445783
NWVQ104,M17800,雷诺风景,68000.0,1678.6,246.85,83,10.86,901.38,0.1308433734939759
SWVK111,M18109,本田奥德赛,176000.0,3309.45,188.04,69,9.95,686.55,0.14420289855072466
NWVB110,M18378,斯柯达明锐,56000.0,1098.94,196.24,56,12.79,716.24,0.2283928571428571
CCVA116,M18386,奥迪A6L,176000.0,2956.96,168.01,56,10.95,613.1999999999998,0.19553571428571428
SCVB118,M18541,日产逍客,90000.0,1971.97,219.11,47,17.02,799.9399999999997,0.3621276595744681
SWVM201,M18570,丰田卡罗拉,65000.0,1010.38,155.44,46,12.33,567.18,0.26804347826086955
CCVA116,M18616,宝马Z4,148000.0,2058.2,139.07,45,11.28,507.6,0.25066666666666665
ECVJ212,M18628,大众迈腾,104000.0,1386.93,133.36,45,10.82,486.9,0.2404444444444445
SWVM121,M18868,福特福克斯,58000.0,562.81,97.04,27,13.12,354.23999999999984,0.4859259259259259
SWVA216,M18887,丰田凯美瑞,120000.0,1124.59,93.72,27,12.67,342.09,0.4692592592592593
ECVJ206,M19053,宝马320Li,168000.0,1248.93,74.34,19,14.28,271.32,0.751578947368421
NCVB101,M19072,奔驰GLC300,280000.0,1710.23,61.08,18,12.39,223.02,0.6883333333333334
NCVG105,M19162,本田艾力绅,199000.0,978.13,49.15,13,13.8,179.4,1.0615384615384615
SWVF206,M19220,大众凌渡,67000.0,491.89,73.42,12,22.33,267.96,1.860833333333333
ECVM109,M19320,宝马520Li,200000.0,1289.21,64.46,6,39.21,235.26,6.535
ECVM214,M19334,别克昂科雷,100000.0,665.11,66.51,6,40.46,242.76,6.743333333333332
SCVA110,M19393,丰田锐志,42000.0,435.98,103.8,2,189.44,378.88,94.72
ECVJ107,M17568,Jeep指南者,100000.0,1951.0,195.1,89,8.0,712.0,0.0898876404494382
CCVF210,M17649,路虎揽胜运动,662000.0,19899.76,300.6,90,12.19,1097.1,0.13544444444444445
SCVG106,M17653,众泰T700,74000.0,1999.88,270.25,90,10.96,986.4,0.1217777777777778
CCVA127,M17698,凯迪拉克SRX,120000.0,2852.04,237.67,86,10.09,867.74,0.11732558139534885
ECVC107,M17737,奔驰S300L,280000.0,5858.32,209.23,84,9.09,763.56,0.10821428571428572
CCVA131,M17742,丰田锐志,64000.0,1502.77,234.81,85,10.08,856.8,0.11858823529411765
SWVM201,M17770,奥迪Q5,178000.0,4409.13,247.7,83,10.89,903.87,0.13120481927710845
CCVF202,M18080,宝马525Li,210000.0,3957.09,188.43,69,9.97,687.9300000000003,0.14449275362318842
ECVJ107,M18150,宝马525Li,225000.0,4058.12,180.36,66,9.97,658.0200000000002,0.15106060606060606
ECVC104,M18375,奔驰CLS260,200000.0,3316.7,165.84,55,11.01,605.55,0.20018181818181816
CCVG106,M18455,雪佛兰科鲁兹,27000.0,385.65,142.83,52,10.03,521.56,0.19288461538461535
NWVB110,M18496,奥迪A4L,80000.0,1335.35,166.92,48,12.69,609.12,0.264375
SWVM104,M18600,大众尚酷,120000.0,1640.55,136.71,44,11.34,498.96,0.25772727272727275
NWVB110,M18609,起亚狮跑,56000.0,878.81,156.93,44,13.02,572.88,0.2959090909090909
SWVU104,M18678,林肯领航员,472000.0,5084.85,107.73,35,11.23,393.05,0.3208571428571429
ECVD102,M18792,奥迪S3,182000.0,1760.04,96.71,29,12.17,352.93,0.4196551724137931
ECVD107,M18795,别克君越,126000.0,1218.46,96.7,29,12.17,352.93,0.4196551724137931
NWVQ111,M18837,丰田汉兰达,176000.0,1899.91,107.95,27,14.59,393.93,0.5403703703703704
ECVC107,M18840,宝马X5,200000.0,2178.02,108.9,27,14.72,397.44,0.5451851851851852
SWVM111,M18847,宝马730Li,182000.0,1683.87,92.52,27,12.51,337.77,0.4633333333333333
ECVJ107,M18850,路虎揽胜,720000.0,6496.57,90.23,27,12.2,329.4,0.4518518518518518
CCVF105,M18929,凯迪拉克ATS-L,112000.0,901.67,80.51,24,12.24,293.76,0.51
ECVM214,M18957,斯巴魯森林人,85000.0,744.08,87.54,21,15.22,319.62,0.7247619047619048
ECVM214,M19026,奔驰唯雅诺,93000.0,797.01,85.7,19,16.46,312.74,0.8663157894736843
NWVA105,M19035,雷克萨斯ES350,106000.0,1035.73,97.71,19,18.77,356.63,0.9878947368421052
NWVA105,M19068,奔驰GLK300,214000.0,1820.05,85.05,17,18.26,310.42,1.0741176470588236
SWVB119,M19074,奥迪Q5,160000.0,977.62,61.1,17,13.12,223.04,0.7717647058823529
ECVD107,M19107,奔驰E300L,220000.0,1201.4,54.61,16,12.46,199.36,0.77875
NCVB101,M19119,奔驰GLE320,420000.0,2021.36,48.13,14,12.55,175.70000000000005,0.8964285714285715
NWVB110,M19149,现代全新胜达,56000.0,633.64,113.15,13,31.77,413.01,2.4438461538461542
ECVD102,M19175,保时捷Panamera,329000.0,1527.32,46.42,12,14.12,169.44,1.1766666666666663
NWVA202,M19193,博越,58000.0,482.14,83.13,12,25.28,303.36,2.106666666666667
SCVB118,M19233,日产奇骏,104000.0,1090.37,104.84,10,38.27,382.70000000000016,3.827
CCVF114,M19240,丰田凯美瑞,72000.0,316.8,44.0,10,16.06,160.6,1.606
NWVQ109,M19260,Jeep指南者,92000.0,404.23,43.94,8,20.05,160.4,2.50625
SCVB118,M19357,大众帕萨特,84000.0,609.2,72.52,4,66.18,264.72,16.545
CCVA130,M17634,丰田锐志,52000.0,1014.22,195.04,89,8.0,712.0,0.0898876404494382
SCVA111,M17652,起亚K5,96000.0,1872.49,195.05,89,8.0,712.0,0.0898876404494382
ECVN103,M18429,别克GL8,280000.0,4290.06,153.22,52,10.75,559.0,0.2067307692307692
SWVM116,M18580,福特新蒙迪欧,94000.0,1294.38,137.7,44,11.42,502.48,0.2595454545454545
NWVA202,M18714,别克英朗,60000.0,700.3,116.72,32,13.31,425.92,0.4159375
CCVF105,M19060,北京40L,70000.0,504.0,72.0,17,15.46,262.82,0.9094117647058824
ECVJ204,M17583,奔驰E260L,200000.0,3901.06,195.05,89,8.0,712.0,0.0898876404494382
SCVB118,M17613,雷克萨斯ES250,164000.0,3162.88,192.86,88,8.0,704.0,0.09090909090909093
ECVJ105,M17623,奔驰E300L,184000.0,3589.87,195.1,89,8.0,712.0,0.0898876404494382
SCVG104,M17642,本田思铂睿,72000.0,1388.43,192.84,88,8.0,704.0,0.09090909090909093
SWVF108,M17774,大众宝来,25000.0,446.25,178.5,81,8.04,651.2399999999999,0.09925925925925927
SWVF108,M17816,江淮iEV6E,32000.0,626.36,195.74,79,9.04,714.16,0.11443037974683545
SWVM207,M17887,马自达阿特兹,96000.0,2169.83,226.02,75,11.0,825.0,0.14666666666666667
NWVQ106,M17977,大众帕萨特,120000.0,2812.97,234.41,72,11.88,855.36,0.165
ECVD103,M18024,凯迪拉克XTS,110000.0,2041.79,185.62,69,9.82,677.58,0.14231884057971014
ECVS101,M18264,宝马523Li,150000.0,2664.66,177.64,59,10.99,648.41,0.186271186440678
CCVA108,M18510,保时捷Cayenne,200000.0,2824.62,141.23,46,11.21,515.6600000000002,0.24369565217391306
NCVB106,M18553,丰田兰德酷路泽,350000.0,4662.92,133.23,44,11.05,486.20000000000016,0.2511363636363637
ECVR109,M18860,现代途胜,92000.0,740.7,80.51,24,12.24,293.76,0.51
NWVB114,M18897,雪佛兰迈锐宝,100000.0,825.34,82.53,23,13.1,301.3,0.5695652173913043
ECVD108,M18977,Jeep牧马人,245000.0,1556.89,63.55,19,12.21,231.99,0.6426315789473684
NCVA104,M19113,路虎揽胜极光,210000.0,995.03,47.38,13,13.3,172.9,1.0230769230769232
NWVA202,M19150,丰田普拉多,264000.0,1429.14,54.13,11,17.96,197.56,1.6327272727272728
NWVB110,M19151,奥迪A6L,64000.0,642.38,100.37,11,33.31,366.41,3.0281818181818183
NWVQ111,M19163,丰田RAV4,144000.0,812.73,56.44,11,18.73,206.03,1.7027272727272729
SCVA103,M17606,丰田皇冠,156000.0,3008.25,192.84,88,8.0,704.0,0.09090909090909093
SCVA117,M17611,丰田凯美瑞,98000.0,1890.69,192.93,88,8.0,704.0,0.09090909090909093
NWVA204,M17633,悍马H3,208000.0,5677.61,272.96,85,11.72,996.2,0.13788235294117648
ECVK109,M17635,大众尚酷,124000.0,2836.94,228.79,84,9.94,834.9599999999997,0.11833333333333332
NCVG110,M17636,奔驰S320L,420000.0,10686.96,254.45,86,10.8,928.8,0.12558139534883722
CCVF205,M17664,宝马X5,520000.0,15499.35,298.06,86,12.65,1087.9,0.14709302325581394
NWVA105,M17771,帕杰罗·劲畅,160000.0,3819.53,238.72,80,10.89,871.2,0.136125
NWVA202,M17772,奔驰C200,84000.0,2005.15,238.71,80,10.89,871.2,0.136125
ECVJ105,M17846,宝马525Li,200000.0,3880.48,194.02,77,9.2,708.4,0.11948051948051945
CCVF105,M17901,雷克萨斯ES250,115000.0,2289.44,199.08,74,9.82,726.6800000000003,0.1327027027027027
ECVA102,Y736,奇瑞eQ1,44000.0,1100.0,250.0,73,12.5,912.5,0.17123287671232876
ECVA102,Y738,奇瑞eQ1,47000.0,1175.0,250.0,73,12.5,912.5,0.17123287671232876
ECVA102,Y749,瑞虎3xe,92000.0,1723.87,187.38,57,12.0,684.0,0.21052631578947367
ECVA102,Y751,奇瑞eQ1,40000.0,749.53,187.38,57,12.0,684.0,0.21052631578947367
NWVB106,M18476,大众迈腾,114000.0,1848.86,162.18,48,12.33,591.84,0.256875
SCVG104,M18477,丰田凯美瑞,84000.0,1470.84,175.1,48,13.31,638.88,0.27729166666666666
NCVA112,M18581,奥迪A6L,210000.0,2673.32,127.3,42,11.06,464.52,0.26333333333333336
SWVM117,M18774,大众帕萨特,120000.0,1163.25,96.94,28,12.64,353.92,0.4514285714285714
NWVQ101,M18814,路虎揽胜极光,200000.0,2024.48,101.22,25,14.78,369.5,0.5912
ECVJ105,M18981,丰田普拉多,280000.0,1996.76,71.31,18,14.46,260.28000000000003,0.8033333333333333
ECVS109,M19025,奥迪Q7,208000.0,1135.77,54.6,16,12.46,199.36,0.77875
ECVK111,M19064,大众迈腾,84000.0,537.6,64.0,15,15.57,233.55,1.038
NCVA101,M19070,奔驰E260L,175000.0,842.14,48.12,14,12.55,175.70000000000005,0.8964285714285715
NCVA104,M19108,现代朗动,53000.0,251.09,47.38,13,13.3,172.9,1.0230769230769232
NCVA104,M19110,宝马523Li,77000.0,462.0,60.0,13,16.85,219.05,1.2961538461538462
SWVM207,M19148,雪铁龙C4L,79000.0,573.9,72.65,10,26.52,265.2,2.6519999999999997
SWVF206,M19157,别克GL8,137000.0,644.47,47.04,10,17.17,171.70000000000005,1.7169999999999999
ECVM112,M19160,奔驰C200L,230000.0,1479.56,64.33,10,23.48,234.8,2.3480000000000003
SWVK113,M19188,宝马X6,209000.0,924.14,44.22,9,17.93,161.37,1.992222222222222
SCVI101,M19191,本田奥德赛,130000.0,650.0,50.0,9,20.28,182.52,2.2533333333333334
ECVN103,M19199,奥迪A4L,197000.0,1125.19,57.12,9,23.16,208.44,2.5733333333333333
NWVB118,M19252,奔驰威霆,180000.0,908.42,50.47,4,46.05,184.2,11.5125
ECVR106,M17554,现代领动,78000.0,1538.94,197.3,90,8.0,720.0,0.08888888888888889
ECVE102,M17570,宝马320Li,140000.0,3999.93,285.71,87,11.99,1043.13,0.13781609195402303
ECVM112,M17607,大众甲壳虫,98000.0,2348.12,239.6,87,10.05,874.35,0.11551724137931035
SWVM125,M17661,本田歌诗图,94000.0,1998.81,212.64,85,9.13,776.0500000000003,0.10741176470588236
NCVG102,M17689,奔驰GLC260,199000.0,4436.05,222.92,83,9.8,813.4000000000003,0.11807228915662653
CCVA131,M17733,大众高尔夫,83000.0,1865.74,224.79,82,10.01,820.8199999999997,0.12207317073170733
NCVA112,M17879,奥迪A6L,210000.0,4239.54,201.88,74,9.96,737.0400000000003,0.1345945945945946
ECVJ106,M18143,福特F-150,273000.0,4630.15,169.6,62,9.98,618.76,0.16096774193548388
CCVF209,M18392,奔驰C200,86000.0,1299.07,151.05,50,11.03,551.5,0.2206
SWVG107,M18464,别克凯越,41000.0,587.41,143.27,48,10.89,522.72,0.226875
ECVC107,M18517,凯迪拉克XT5,208000.0,3048.67,146.57,43,12.44,534.92,0.2893023255813953
SWVM123,M18535,马自达6,50000.0,693.17,138.63,43,11.77,506.11,0.2737209302325581
NWVB106,M18635,大众迈腾,132000.0,1885.43,142.84,39,13.37,521.43,0.3428205128205128
ECVM112,M18708,远景SUV,55000.0,825.0,150.0,30,18.25,547.5,0.6083333333333333
NCVB106,M18722,丰田坦途,270000.0,2611.02,96.7,29,12.17,352.93,0.4196551724137931
ECVC105,M18743,捷豹XJ,283000.0,2644.51,93.45,28,12.18,341.04,0.435
ECVC105,M18768,保时捷Cayenne,459000.0,4141.26,90.22,27,12.2,329.4,0.4518518518518518
SWVF110,M18859,马自达阿特兹,116000.0,896.68,77.3,23,12.27,282.21,0.5334782608695652
SWVA216,M18906,奔驰GLA200,160000.0,1187.24,74.2,21,12.9,270.90000000000003,0.6142857142857143
NWVQ109,M18962,别克君威,84000.0,623.6,74.24,17,15.94,270.98,0.9376470588235294
SWVK113,M18992,宝马320Li,159000.0,906.98,57.04,16,13.01,208.16,0.813125
NWVB114,M19054,奔驰唯雅诺,100000.0,680.0,68.0,14,17.73,248.22,1.2664285714285717
SWVM116,M19092,大众帕萨特,75000.0,510.0,68.0,13,19.09,248.17,1.4684615384615385
SCVB103,M19109,别克英朗,38000.0,533.37,140.36,12,42.69,512.28,3.5575
NWVQ104,M19124,奥迪A4L,112000.0,567.5,50.67,10,18.49,184.9,1.849
NWVQ104,M19126,奔驰GLK300,184000.0,952.09,51.74,10,18.89,188.9,1.889
ECVK111,M19209,现代全新胜达,90000.0,540.0,60.0,7,31.29,219.03,4.47
SCVB118,M19265,本田雅阁,103000.0,542.19,52.64,3,64.05,192.15,21.35
NWVQ113,M19284,大众高尔夫,78000.0,211.39,27.1,3,32.97,98.91,10.99
ECVC102,M19355,奔驰C200,65000.0,14.38,2.21,1,8.07,8.07,8.07
CCVF205,M17534,路虎揽胜,669000.0,16999.49,254.1,90,10.31,927.9,0.11455555555555555
NWVA110,M17575,福特新蒙迪欧,100000.0,1951.0,195.1,89,8.0,712.0,0.0898876404494382
ECVK104,M17626,大众途观,118000.0,2729.66,231.33,86,9.82,844.52,0.1141860465116279
SWVM101,M17641,丰田兰德酷路泽,326000.0,7514.38,230.5,84,10.02,841.68,0.11928571428571427
ECVM214,M17655,本田雅阁,29000.0,613.64,211.6,85,9.09,772.65,0.10694117647058823
NWVA209,M17667,北京40,93000.0,2084.63,224.15,83,9.86,818.38,0.11879518072289155
NCVG101,M18069,别克GL8,88000.0,1672.3,190.03,64,10.84,693.76,0.169375
SWVG101,M18271,WEY VV7,120000.0,1959.2,163.27,55,10.83,595.65,0.19690909090909087
SCVA103,M18280,丰田RAV4,128000.0,2033.54,158.87,55,10.54,579.6999999999998,0.19163636363636366
NWVA104,M18418,大众途锐,136000.0,2293.95,168.67,48,12.83,615.84,0.26729166666666665
ECVJ102,M18459,奔驰SLK300,144000.0,2046.47,142.12,47,11.04,518.88,0.2348936170212766
SWVG101,M18555,WEY VV7,112000.0,1371.06,122.42,41,10.9,446.9,0.2658536585365854
SWVM117,M18653,远景SUV,50000.0,618.5,123.7,38,11.88,451.44000000000005,0.3126315789473684
SWVM117,M18705,丰田RAV4,75000.0,960.0,128.0,29,16.11,467.19,0.5555172413793104
SWVU116,M18717,丰田普拉多,266000.0,2706.1,101.73,28,13.26,371.28,0.4735714285714286
ECVM206,M18802,大众捷达,15000.0,199.97,133.31,23,21.16,486.68,0.92
NCVG101,M18811,宝马X1,100000.0,825.31,82.53,23,13.1,301.3,0.5695652173913043
NCVG107,M18821,奥迪Q5,148000.0,1221.5,82.53,23,13.1,301.3,0.5695652173913043
CCVF204,M18902,大众帕萨特,129000.0,1030.78,79.91,20,14.58,291.6,0.7290000000000001
ECVN101,M18940,MINI,145000.0,1119.65,77.22,19,14.83,281.77,0.7805263157894737
ECVC105,M18946,奔驰A45,196000.0,1133.39,57.83,17,12.42,211.14,0.7305882352941176
SWVU118,M18952,本田飞度,54000.0,477.58,88.44,16,20.18,322.88,1.26125
ECVM214,M18954,别克GL8,71000.0,662.68,93.34,16,21.29,340.64,1.330625
NWVA202,M18979,博瑞,58000.0,514.5,88.71,16,20.24,323.84,1.265
SCVA113,M19020,奥迪Q7,100000.0,805.23,80.52,15,19.59,293.85,1.306
