城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率,天数乘收益率,收益率除天数
SWVM204,M18879,现代索纳塔九,88000.0,1411.63,160.41,48,12.2,585.5999999999998,0.25416666666666665
ECVJ107,M18562,Jeep牧马人,232000.0,4309.33,185.75,68,9.97,677.96,0.14661764705882355
ECVJ107,M18561,奔驰GL350,368000.0,6848.96,186.11,68,9.99,679.32,0.14691176470588235
ECVJ107,M19437,宝马X6,380000.0,2690.58,70.8,21,12.31,258.51,0.5861904761904763
ECVJ107,M19607,路虎揽胜运动,568000.0,2734.04,48.13,14,12.55,175.70000000000005,0.8964285714285715
ECVJ107,M19799,丰田普拉多,268000.0,1024.13,38.21,6,23.25,139.5,3.875
ECVM214,M19470,大众POLO,28000.0,336.72,120.26,20,21.95,439.0,1.0975
SWVB106,M18319,奥迪A8L,292000.0,5837.94,199.93,81,9.01,729.81,0.11123456790123457
ECVS109,M19276,福特福克斯,54000.0,522.22,96.71,29,12.17,352.93,0.4196551724137931
NWVB120,M19590,福特锐界,177000.0,902.54,50.99,14,13.29,186.06,0.9492857142857142
NCVH105,M19690,奥迪A4L,169000.0,811.2,48.0,11,15.93,175.23,1.4481818181818182
NCVA108,M19322,奥迪A6L,175000.0,1578.9,90.22,27,12.2,329.4,0.4518518518518518
ECVC112,M19498,宝马X1,140000.0,900.61,64.33,19,12.36,234.84,0.6505263157894736
SWVK112,M19738,起亚K3,68000.0,467.99,68.82,8,31.4,251.2,3.925
SWVK112,M19737,起亚K3,68000.0,308.54,45.37,8,20.7,165.6,2.5875
ECVJ101,M19784,奔驰GLK300,194000.0,935.34,48.21,6,29.33,175.98,4.888333333333333
ECVD108,M19313,保时捷911,840000.0,7758.78,92.37,28,12.04,337.12,0.43
ECVJ204,M19595,大众凌渡,128000.0,757.46,59.18,14,15.43,216.02,1.1021428571428569
ECVJ204,M19100,本田UR-V,216000.0,2554.1,118.25,38,11.36,431.68,0.29894736842105263
SWVB111,M18134,福特锐界,200000.0,4000.0,200.0,89,8.2,729.8,0.09213483146067417
SCVA103,M19572,丰田锐志,104000.0,643.09,61.84,15,15.05,225.75,1.0033333333333334
NWVA110,M18231,宝马525Li,157000.0,4201.46,267.61,84,11.63,976.92,0.13845238095238094
NCVG107,M19853,奔驰C180,92000.0,279.0,30.33,4,27.67,110.68,6.9175
CCVA102,M18072,捷豹XJ,252000.0,4971.03,197.26,90,8.0,720.0,0.08888888888888889
SCVB111,M19532,奥迪A6L,58000.0,1011.05,174.32,17,37.43,636.31,2.201764705882353
SWVM202,M19557,大众途观,92000.0,657.97,71.52,14,18.65,261.1,1.3321428571428569
